DateTime,Game,Viewer Figure
2023-08-07,Stumble Guys,45K
2023-08-07,League of Legends,38K
2023-08-07,Mobile Legends: Bang Bang,24K
2023-08-07,Garena Free Fire,17K
2023-08-07,BeamNG.drive,16K
2023-08-07,Grand Theft Auto V,16K
2023-08-07,Battlegrounds Mobile India,16K
2023-08-07,Valorant,14K
2023-08-07,PUBG Mobile,12K
2023-08-07,Minecraft,11K
2023-08-07,Apex Legends,9.7K
2023-08-07,Roblox,8.8K
2023-08-07,Secret of Mana,8.8K
2023-08-07,Scary Teacher 3D,7.4K
2023-08-07,Fortnite,6.7K
2023-08-07,World of Tanks,5.4K

2023-08-07,League of Legends,47K
2023-08-07,Mobile Legends: Bang Bang,27K
2023-08-07,Battlegrounds Mobile India,23K
2023-08-07,Garena Free Fire,17K
2023-08-07,BeamNG.drive,16K
2023-08-07,Grand Theft Auto V,15K
2023-08-07,Minecraft,14K
2023-08-07,Valorant,13K
2023-08-07,PUBG Mobile,12K
2023-08-07,Apex Legends,10K
2023-08-07,Roblox,7.5K
2023-08-07,Scary Teacher 3D,7.4K
2023-08-07,Fortnite,6.7K
2023-08-07,Feed and Grow: Fish,6.5K
2023-08-07,World of Tanks,5.6K
2023-08-07,Counter-Strike: Global Offensive,4.9K

