Steam,Steam,Steam,EA twitch,EA twitch,EA twitch,EA twitch,YT,YT,YT,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Other Twitch,Other Twitch,Other Twitch,Other Twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,activision twitch,activision twitch,activision twitch,activision twitch,microsoft twitch,microsoft twitch,microsoft twitch,microsoft twitch
Date,Game,Peak Players 24hr,Game,Average 7-Day Viewers,Hours Watched,Date,DateTime,Game,Viewer Figure,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date
2023-08-07,Football Manager 2023,41626.0,NHL 23,258.0,43291.0,2023-08-07,2023-08-07,Fortnite,6.7K,,,,,Valorant,105856.0,17730922.0,2023-08-07,Assasins Creed Valhalla,230.0,38491.0,2023-08-09,World of Warcraft,25513.0,4273428.0,2023-08-07,Minecraft Dungeons,30.0,4942.0,2023-08-07
2023-08-07,Counter-Strike: Global Offensive,845291.0,F1 23,2851.0,477608.0,2023-08-07,2023-08-07,World of Tanks,5.4K,,,,,Red Dead Redemption 2,5796.0,970821.0,2023-08-07,Watch Dogs: Legion,20.0,3427.0,2023-08-09,Call of Duty: Modern Warfare II,11158.0,1870903.0,2023-08-09,Starfield,4.0,276.0,2023-08-09
2023-08-07,Dota 2,356139.0,Star Wars Jedi: Survivor,282.0,47177.0,2023-08-07,2023-08-07,League of Legends,47K,,,,,PUBG: BATTLEGROUNDS,8760.0,1467264.0,2023-08-07,,,,,Call of Duty: Warzone,36875.0,6182687.0,2023-08-09,Fallout 4,703.0,117821.0,2023-08-09
2023-08-07,Baldur's Gate 3,330232.0,The Sims 4,2639.0,442036.0,2023-08-07,2023-08-07,Mobile Legends: Bang Bang,27K,,,,,NBA 2K23,7861.0,1316744.0,2023-08-07,,,,,Overwatch 2,16747.0,2807833.0,2023-08-09,Minecraft,54007.0,9055123.0,2023-08-09
2023-08-07,PUBG: BATTLEGROUNDS,178110.0,Madden NFL 23,910.0,152541.0,2023-08-09,2023-08-07,Battlegrounds Mobile India,23K,,,,,Destiny 2,4868.0,815315.0,2023-08-07,,,,,Diablo IV,10884.0,1824859.0,2023-08-09,Halo Infinite,9687.0,1624185.0,2023-08-09
2023-08-07,Apex Legends,164033.0,Battlefield 2042,660.0,110739.0,2023-08-09,2023-08-07,Garena Free Fire,17K,,,,,Cyberpunk 2077,545.0,91330.0,2023-08-07,,,,,World of Warcraft,25005.0,4192471.0,2023-08-09,Minecraft Dungeons,29.0,4809.0,2023-08-09
2023-08-07,Grand Theft Auto V,114234.0,NHL 23,246.0,41182.0,2023-08-09,2023-08-07,BeamNG.drive,16K,,,,,Roblox,5593.0,936840.0,2023-08-07,,,,,,,,,,,,
2023-08-07,NARAKA: BLADEPOINT,107194.0,F1 23,2097.0,351520.0,2023-08-09,2023-08-07,Grand Theft Auto V,15K,,,,,Fortnite,55227.0,9250451.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Wallpaper Engine,91440.0,Star Wars Jedi: Survivor,255.0,42740.0,2023-08-09,2023-08-07,Minecraft,14K,,,,,Among Us,3103.0,519798.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Team Fortress 2,89012.0,The Sims 4,2528.0,423793.0,2023-08-09,2023-08-07,Valorant,13K,,,,,Rocket League,24016.0,4022639.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Source SDK Base 2007,82734.0,Madden NFL 23,910.0,152541.0,2023-08-09,2023-08-07,PUBG Mobile,12K,,,,,GTA V,138063.0,23125608.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Rust,81764.0,Battlefield 2042,660.0,110739.0,2023-08-09,2023-08-07,Apex Legends,10K,,,,,League of Legends,139941.0,23440195.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Unturned,62081.0,NHL 23,246.0,41182.0,2023-08-09,2023-08-07,Roblox,7.5K,,,,,Valorant,105856.0,17730922.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Call of Duty®,53919.0,F1 23,2097.0,351520.0,2023-08-09,2023-08-07,Scary Teacher 3D,7.4K,,,,,Red Dead Redemption 2,5796.0,970821.0,2023-08-07,,,,,,,,,,,,
2023-08-07,War Thunder,48322.0,Star Wars Jedi: Survivor,255.0,42740.0,2023-08-09,2023-08-07,Fortnite,6.7K,,,,,PUBG: BATTLEGROUNDS,8760.0,1467264.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Football Manager 2023,42777.0,The Sims 4,2528.0,423793.0,2023-08-09,2023-08-07,Feed and Grow: Fish,6.5K,,,,,NBA 2K23,7861.0,1316744.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Counter-Strike: Global Offensive,845291.0,,,,,2023-08-07,World of Tanks,5.6K,,,,,Destiny 2,4868.0,815315.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Dota 2,356139.0,,,,,2023-08-07,Counter-Strike: Global Offensive,4.9K,,,,,Cyberpunk 2077,545.0,91330.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Baldur's Gate 3,330232.0,,,,,2023-08-07,League of Legends,47K,,,,,Roblox,5593.0,936840.0,2023-08-07,,,,,,,,,,,,
2023-08-07,PUBG: BATTLEGROUNDS,178110.0,,,,,2023-08-07,Mobile Legends: Bang Bang,24K,,,,,Fortnite,55227.0,9250451.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Apex Legends,164033.0,,,,,2023-08-07,Garena Free Fire,18K,,,,,Among Us,3103.0,519798.0,2023-08-07,,,,,,,,,,,,
2023-08-07,Grand Theft Auto V,114234.0,,,,,2023-08-07,BeamNG.drive,16K,,,,,Rocket League,24016.0,4022639.0,2023-08-07,,,,,,,,,,,,
2023-08-07,NARAKA: BLADEPOINT,107194.0,,,,,2023-08-07,Battlegrounds Mobile India,16K,,,,,GTA V,137093.0,22985932.0,2023-08-09,,,,,,,,,,,,
2023-08-07,Wallpaper Engine,91440.0,,,,,2023-08-07,Minecraft,16K,,,,,League of Legends,137690.0,23086096.0,2023-08-09,,,,,,,,,,,,
2023-08-07,Team Fortress 2,89012.0,,,,,2023-08-07,Grand Theft Auto V,15K,,,,,Valorant,133289.0,22348183.0,2023-08-09,,,,,,,,,,,,
2023-08-07,Source SDK Base 2007,82734.0,,,,,2023-08-07,Valorant,13K,,,,,Red Dead Redemption 2,5408.0,906751.0,2023-08-09,,,,,,,,,,,,
2023-08-07,Rust,81764.0,,,,,2023-08-07,PUBG Mobile,13K,,,,,PUBG: BATTLEGROUNDS,13751.0,2305649.0,2023-08-09,,,,,,,,,,,,
2023-08-07,Unturned,62081.0,,,,,2023-08-07,Apex Legends,10K,,,,,NBA 2K23,7692.0,1289735.0,2023-08-09,,,,,,,,,,,,
2023-08-07,Call of Duty®,53919.0,,,,,2023-08-07,Scary Teacher 3D,7.5K,,,,,Destiny 2,4594.0,770277.0,2023-08-09,,,,,,,,,,,,
2023-08-07,War Thunder,48322.0,,,,,2023-08-07,Roblox,7.4K,,,,,Cyberpunk 2077,459.0,76995.0,2023-08-09,,,,,,,,,,,,
2023-08-07,Football Manager 2023,42777.0,,,,,2023-08-07,Fortnite,6.9K,,,,,Roblox,5945.0,996735.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Counter-Strike: Global Offensive,920181.0,,,,,2023-08-07,Feed and Grow: Fish,5.7K,,,,,Fortnite,53548.0,8978293.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Dota 2,473713.0,,,,,2023-08-07,World of Tanks,5.6K,,,,,Among Us,2709.0,454249.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Baldur's Gate 3,376760.0,,,,,2023-08-07,Mahjong Soul,4.7K,,,,,Rocket League,27675.0,4640140.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Apex Legends,296353.0,,,,,2023-08-09,League of Legends,174K,,,,,GTA V,137093.0,22985932.0,2023-08-09,,,,,,,,,,,,
2023-08-09,PUBG: BATTLEGROUNDS,276983.0,,,,,2023-08-09,PUBG Mobile,81K,,,,,League of Legends,137690.0,23086096.0,2023-08-09,,,,,,,,,,,,
2023-08-09,NARAKA: BLADEPOINT,123907.0,,,,,2023-08-09,Minecraft,70K,,,,,Valorant,133289.0,22348183.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Grand Theft Auto V,122515.0,,,,,2023-08-09,EA SPORTS FIFA 23,45K,,,,,Red Dead Redemption 2,5408.0,906751.0,2023-08-09,,,,,,,,,,,,
2023-08-09,Source SDK Base 2007,102633.0,,,,,2023-08-09,Apex Legends,24K,,,,,PUBG: BATTLEGROUNDS,13751.0,2305649.0,2023-08-09,,,,,,,,,,,,
