Game,Average 7-Day Viewers,Hours Watched,Date
Starfield,4,280,2023-08-07
Fallout 4,653,109447,2023-08-07
Minecraft,50626,8479912,2023-08-07
Halo Infinite,9012,1509428,2023-08-07
Minecraft Dungeons,30,4942,2023-08-07
Starfield,4,280,2023-08-07
Fallout 4,653,109447,2023-08-07
Minecraft,50626,8479912,2023-08-07
Halo Infinite,9012,1509428,2023-08-07
Minecraft Dungeons,30,4942,2023-08-07
Starfield,4,280,2023-08-07
Fallout 4,653,109447,2023-08-07
Minecraft,50626,8479912,2023-08-07
Halo Infinite,9012,1509428,2023-08-07
Minecraft Dungeons,30,4942,2023-08-07
Starfield,4,276,2023-08-09
Fallout 4,703,117821,2023-08-09
Minecraft,54007,9055123,2023-08-09
Halo Infinite,9687,1624185,2023-08-09
Minecraft Dungeons,29,4809,2023-08-09
