Game,Average 7-Day Viewers,Hours Watched,Date
Apex Legends,43860,7302710,2023-07-27 09:50:10
FIFA 23,21125,3517275,2023-07-27 09:57:02
Madden NFL 23,1051,174752,2023-07-27 09:57:02
Battlefield 2042,659,109665,2023-07-27 09:57:02
NHL 23,280,46576,2023-07-27 09:57:02
F1 23,3333,554327,2023-07-27 09:57:02
Star Wars Jedi: Survivor,287,47762,2023-07-27 09:57:02
The Sims 4,3890,647050,2023-07-27 09:57:02
Apex Legends,43860,7302710,2023-07-27 09:57:02
FIFA 23,20102,3360464,2023-08-01 08:25:44
Madden NFL 23,943,157441,2023-08-01 08:25:44
Battlefield 2042,677,113132,2023-08-01 08:25:44
NHL 23,272,45398,2023-08-01 08:25:44
F1 23,2862,477959,2023-08-01 08:25:44
Star Wars Jedi: Survivor,305,51001,2023-08-01 08:25:44
The Sims 4,3043,508103,2023-08-01 08:25:44
Apex Legends,34088,5698350,2023-08-01 08:25:44
FIFA 23,20102,3360464,2023-08-01 08:26:49
Madden NFL 23,943,157441,2023-08-01 08:26:49
Battlefield 2042,677,113132,2023-08-01 08:26:49
NHL 23,272,45398,2023-08-01 08:26:49
F1 23,2862,477959,2023-08-01 08:26:49
Star Wars Jedi: Survivor,305,51001,2023-08-01 08:26:49
FIFA 23,20102,3360464,2023-08-01 08:29:45
Madden NFL 23,943,157441,2023-08-01 08:29:45
Battlefield 2042,677,113132,2023-08-01 08:29:45
NHL 23,272,45398,2023-08-01 08:29:45
F1 23,2862,477959,2023-08-01 08:29:45
Star Wars Jedi: Survivor,305,51001,2023-08-01 08:29:45
The Sims 4,3043,508103,2023-08-01 08:29:45
Apex Legends,34088,5698350,2023-08-01 08:29:45
FIFA 23,20102,3360464,2023-08-01 09:16:03
Madden NFL 23,943,157441,2023-08-01 09:16:03
Battlefield 2042,677,113132,2023-08-01 09:16:03
NHL 23,272,45398,2023-08-01 09:16:03
F1 23,2862,477959,2023-08-01 09:16:03
Star Wars Jedi: Survivor,305,51001,2023-08-01 09:16:03
