Steam,Steam,Steam,EA twitch,EA twitch,EA twitch,EA twitch,YT,YT,YT,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Other Twitch,Other Twitch,Other Twitch,Other Twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,activision twitch,activision twitch,activision twitch,activision twitch,microsoft twitch,microsoft twitch,microsoft twitch,microsoft twitch
Date,Game,Peak Players 24hr,Game,Average 7-Day Viewers,Hours Watched,Date,DateTime,Game,Viewer Figure,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date
2023-08-03,Counter-Strike: Global Offensive,915695.0,Madden NFL 23,907.0,151693.0,2023-08-03,2023-08-03,Grand Theft Auto V,71K,FIFA 23,20544.0,3437697.0,2023-08-03,GTA V,190781.0,31924067.0,2023-08-03,Rainbow Six Siege,11635.0,1946954.0,2023-08-03,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,Starfield,6.0,571.0,2023-08-03
2023-08-03,Dota 2,526899.0,Battlefield 2042,944.0,157985.0,2023-08-03,2023-08-03,Battlegrounds Mobile India,54K,Apex Legends,35625.0,5961295.0,2023-08-03,League of Legends,149493.0,25015190.0,2023-08-03,The Division 2,470.0,78579.0,2023-08-03,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,Fallout 4,616.0,102930.0,2023-08-03
2023-08-03,PUBG: BATTLEGROUNDS,202483.0,NHL 23,258.0,43103.0,2023-08-03,2023-08-03,PUBG Mobile,34K,FIFA 23,21805.0,3652301.0,2023-08-07,Valorant,90608.0,15161709.0,2023-08-03,Assasins Creed Valhalla,148.0,24729.0,2023-08-03,Overwatch 2,18377.0,3075084.0,2023-08-03,Minecraft,50759.0,8493730.0,2023-08-03
2023-08-03,Apex Legends,186382.0,F1 23,2662.0,444944.0,2023-08-03,2023-08-03,Garena Free Fire,33K,Apex Legends,36450.0,6105417.0,2023-08-07,Red Dead Redemption 2,7750.0,1296871.0,2023-08-03,Assasin Creed Mirage,0.0,0.0,2023-08-03,Diablo IV,20329.0,3401670.0,2023-08-03,Halo Infinite,2171.0,363297.0,2023-08-03
2023-08-03,Baldur's Gate 3,163608.0,Star Wars Jedi: Survivor,262.0,43736.0,2023-08-03,2023-08-03,BeamNG.drive,30K,,,,,PUBG: BATTLEGROUNDS,9403.0,1571902.0,2023-08-03,Watch Dogs: Legion,61.0,10206.0,2023-08-03,World of Warcraft,26170.0,4379071.0,2023-08-03,Minecraft Dungeons,26.0,4388.0,2023-08-03
2023-08-03,Source SDK Base 2007,160977.0,The Sims 4,3049.0,509626.0,2023-08-03,2023-08-03,League of Legends,28K,,,,,NBA 2K23,5751.0,962347.0,2023-08-03,Rainbow Six Siege,13418.0,2247584.0,2023-08-07,Call of Duty: Modern Warfare II,10739.0,1798702.0,2023-08-07,Starfield,4.0,280.0,2023-08-07
2023-08-03,Grand Theft Auto V,135587.0,Madden NFL 23,930.0,155714.0,2023-08-07,2023-08-03,Roblox,26K,,,,,Destiny 2,5482.0,917356.0,2023-08-03,The Division 2,472.0,79084.0,2023-08-07,Call of Duty: Warzone,34712.0,5814187.0,2023-08-07,Fallout 4,653.0,109447.0,2023-08-07
2023-08-03,Team Fortress 2,106324.0,Battlefield 2042,879.0,147304.0,2023-08-07,2023-08-03,Mobile Legends: Bang Bang,24K,,,,,Cyberpunk 2077,561.0,93845.0,2023-08-03,Assasins Creed Valhalla,177.0,29648.0,2023-08-07,Overwatch 2,17044.0,2854890.0,2023-08-07,Minecraft,50626.0,8479912.0,2023-08-07
2023-08-03,NARAKA: BLADEPOINT,101693.0,NHL 23,258.0,43291.0,2023-08-07,2023-08-03,Minecraft,21K,,,,,Roblox,6338.0,1059461.0,2023-08-03,Watch Dogs: Legion,20.0,3279.0,2023-08-07,Diablo IV,13162.0,2204582.0,2023-08-07,Halo Infinite,9012.0,1509428.0,2023-08-07
2023-08-03,Wallpaper Engine,94219.0,F1 23,2851.0,477608.0,2023-08-07,2023-08-03,Fortnite,18K,,,,,Fortnite,56911.0,9523140.0,2023-08-03,Rainbow Six Siege,13418.0,2247584.0,2023-08-07,World of Warcraft,25513.0,4273428.0,2023-08-07,Minecraft Dungeons,30.0,4942.0,2023-08-07
2023-08-03,Call of Duty®,84308.0,Star Wars Jedi: Survivor,282.0,47177.0,2023-08-07,2023-08-03,Baldur's Gate III,17K,,,,,Among Us,4111.0,687203.0,2023-08-03,The Division 2,472.0,79084.0,2023-08-07,,,,,,,,
2023-08-03,Rust,76520.0,The Sims 4,2639.0,442036.0,2023-08-07,2023-08-03,Free Fire MAX,14K,,,,,Rocket League,10775.0,1803017.0,2023-08-03,Assasins Creed Valhalla,177.0,29648.0,2023-08-07,,,,,,,,
2023-08-03,Unturned,65175.0,,,,,2023-08-03,Rocket League,13K,,,,,GTA V,138063.0,23125608.0,2023-08-07,Watch Dogs: Legion,20.0,3279.0,2023-08-07,,,,,,,,
2023-08-03,Remnant II,62798.0,,,,,2023-08-03,Valorant,11K,,,,,League of Legends,139941.0,23440195.0,2023-08-07,,,,,,,,,,,,
