Game,Average 7-Day Viewers,Hours Watched,Date
FIFA 23,20544,3437697,2023-08-03
Apex Legends,35625,5961295,2023-08-03
FIFA 23,21805,3652301,2023-08-07
Apex Legends,36450,6105417,2023-08-07
