Steam,Steam,Steam,EA twitch,EA twitch,EA twitch,EA twitch,YT,YT,YT,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Fifa+Apex twitch,Other Twitch,Other Twitch,Other Twitch,Other Twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,ubisoft twitch,activision twitch,activision twitch,activision twitch,activision twitch,microsoft twitch,microsoft twitch,microsoft twitch,microsoft twitch
Date,Game,Peak Players 24hr,Game,Average 7-Day Viewers,Hours Watched,Date,DateTime,Game,Viewer Figure,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date,Game,Average 7-Day Viewers,Hours Watched,Date
2023-08-03,Counter-Strike: Global Offensive,915695.0,Madden NFL 23,907.0,151693.0,2023-08-03,2023-08-03,Grand Theft Auto V,71K,FIFA 23,20544.0,3437697.0,2023-08-03,GTA V,190781.0,31924067.0,2023-08-03,Rainbow Six Siege,11635.0,1946954.0,2023-08-03,Call of Duty: Modern Warfare II,10557.0,1766463.0,2023-08-03,Starfield,6.0,571.0,2023-08-03
2023-08-03,Dota 2,526899.0,Battlefield 2042,944.0,157985.0,2023-08-03,2023-08-03,Battlegrounds Mobile India,54K,Apex Legends,35625.0,5961295.0,2023-08-03,League of Legends,149493.0,25015190.0,2023-08-03,The Division 2,470.0,78579.0,2023-08-03,Call of Duty: Warzone,31363.0,5248093.0,2023-08-03,Fallout 4,616.0,102930.0,2023-08-03
2023-08-03,PUBG: BATTLEGROUNDS,202483.0,NHL 23,258.0,43103.0,2023-08-03,2023-08-03,PUBG Mobile,34K,,,,,Valorant,90608.0,15161709.0,2023-08-03,Assasins Creed Valhalla,148.0,24729.0,2023-08-03,Overwatch 2,18377.0,3075084.0,2023-08-03,Minecraft,50759.0,8493730.0,2023-08-03
2023-08-03,Apex Legends,186382.0,F1 23,2662.0,444944.0,2023-08-03,2023-08-03,Garena Free Fire,33K,,,,,Red Dead Redemption 2,7750.0,1296871.0,2023-08-03,Assasin Creed Mirage,0.0,0.0,2023-08-03,Diablo IV,20329.0,3401670.0,2023-08-03,Halo Infinite,2171.0,363297.0,2023-08-03
2023-08-03,Baldur's Gate 3,163608.0,Star Wars Jedi: Survivor,262.0,43736.0,2023-08-03,2023-08-03,BeamNG.drive,30K,,,,,PUBG: BATTLEGROUNDS,9403.0,1571902.0,2023-08-03,Watch Dogs: Legion,61.0,10206.0,2023-08-03,World of Warcraft,26170.0,4379071.0,2023-08-03,Minecraft Dungeons,26.0,4388.0,2023-08-03
2023-08-03,Source SDK Base 2007,160977.0,The Sims 4,3049.0,509626.0,2023-08-03,2023-08-03,League of Legends,28K,,,,,NBA 2K23,5751.0,962347.0,2023-08-03,,,,,,,,,,,,
2023-08-03,Grand Theft Auto V,135587.0,,,,,2023-08-03,Roblox,26K,,,,,Destiny 2,5482.0,917356.0,2023-08-03,,,,,,,,,,,,
2023-08-03,Team Fortress 2,106324.0,,,,,2023-08-03,Mobile Legends: Bang Bang,24K,,,,,Cyberpunk 2077,561.0,93845.0,2023-08-03,,,,,,,,,,,,
2023-08-03,NARAKA: BLADEPOINT,101693.0,,,,,2023-08-03,Minecraft,21K,,,,,Roblox,6338.0,1059461.0,2023-08-03,,,,,,,,,,,,
2023-08-03,Wallpaper Engine,94219.0,,,,,2023-08-03,Fortnite,18K,,,,,Fortnite,56911.0,9523140.0,2023-08-03,,,,,,,,,,,,
2023-08-03,Call of Duty®,84308.0,,,,,2023-08-03,Baldur's Gate III,17K,,,,,Among Us,4111.0,687203.0,2023-08-03,,,,,,,,,,,,
2023-08-03,Rust,76520.0,,,,,2023-08-03,Free Fire MAX,14K,,,,,Rocket League,10775.0,1803017.0,2023-08-03,,,,,,,,,,,,
2023-08-03,Unturned,65175.0,,,,,2023-08-03,Rocket League,13K,,,,,,,,,,,,,,,,,,,,
2023-08-03,Remnant II,62798.0,,,,,2023-08-03,Valorant,11K,,,,,,,,,,,,,,,,,,,,
2023-08-03,Football Manager 2023,61641.0,,,,,2023-08-03,World of Tanks,10K,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-08-03,FIFA Online 4,10K,,,,,,,,,,,,,,,,,,,,
