DateTime,Game,Viewer Figure
2023-08-03,Grand Theft Auto V,71K
2023-08-03,Battlegrounds Mobile India,54K
2023-08-03,PUBG Mobile,34K
2023-08-03,Garena Free Fire,33K
2023-08-03,BeamNG.drive,30K
2023-08-03,League of Legends,28K
2023-08-03,Roblox,26K
2023-08-03,Mobile Legends: Bang Bang,24K
2023-08-03,Minecraft,21K
2023-08-03,Fortnite,18K
2023-08-03,Baldur's Gate III,17K
2023-08-03,Free Fire MAX,14K
2023-08-03,Rocket League,13K
2023-08-03,Valorant,11K
2023-08-03,World of Tanks,10K
2023-08-03,FIFA Online 4,10K

