Game,Average 7-Day Viewers,Hours Watched,Date
Call of Duty: Modern Warfare II,10557,1766463,2023-08-03
Call of Duty: Warzone,31363,5248093,2023-08-03
Overwatch 2,18377,3075084,2023-08-03
Diablo IV,20329,3401670,2023-08-03
World of Warcraft,26170,4379071,2023-08-03
