Date,Game,Peak Players 24hr
2023-08-03,Counter-Strike: Global Offensive,915695
2023-08-03,Dota 2,526899
2023-08-03,PUBG: BATTLEGROUNDS,202483
2023-08-03,Apex Legends,186382
2023-08-03,Baldur's Gate 3,163608
2023-08-03,Source SDK Base 2007,160977
2023-08-03,Grand Theft Auto V,135587
2023-08-03,Team Fortress 2,106324
2023-08-03,NARAKA: BLADEPOINT,101693
2023-08-03,Wallpaper Engine,94219
2023-08-03,Call of Duty®,84308
2023-08-03,Rust,76520
2023-08-03,Unturned,65175
2023-08-03,Remnant II,62798
2023-08-03,Football Manager 2023,61641

