Date,Game,Peak Players 24hr
2023-08-03,Counter-Strike: Global Offensive,849325
2023-08-03,Dota 2,360893
2023-08-03,PUBG: BATTLEGROUNDS,180936
2023-08-03,Apex Legends,164065
2023-08-03,Grand Theft Auto V,119325
2023-08-03,NARAKA: BLADEPOINT,109309
2023-08-03,Wallpaper Engine,92258
2023-08-03,Source SDK Base 2007,85835
2023-08-03,Team Fortress 2,84077
2023-08-03,Unturned,67395
2023-08-03,Call of Duty®,60338
2023-08-03,Rust,55184
2023-08-03,War Thunder,49974
2023-08-03,Football Manager 2023,45678
2023-08-03,Sid Meier's Civilization VI,39838

