DateTime,Game,Viewer Figure
2023-06-30 12:00:15,Apex Legends,11K
2023-06-30 12:00:15,Roblox,8.4K
2023-06-30 12:00:15,Genshin Impact,7.5K

2023-06-30 13:17:22,Arena of Valor,113K
2023-06-30 13:17:22,League of Legends,108K
2023-06-30 13:17:22,Mobile Legends: Bang Bang,79K
2023-06-30 13:17:22,PUBG Mobile,75K
2023-06-30 13:17:22,Valorant,36K
2023-06-30 13:17:22,Battlegrounds Mobile India,29K
2023-06-30 13:17:22,Apex Legends,23K
2023-06-30 13:17:22,Minecraft,21K
2023-06-30 13:17:22,Garena Free Fire,20K
2023-06-30 13:17:22,Teamfight Tactics,18K
2023-06-30 13:17:22,Street Fighter 6,16K
2023-06-30 13:17:22,Resident Evil 4,15K
2023-06-30 13:17:22,Among Us,14K
2023-06-30 13:17:22,BeamNG.drive,13K
2023-06-30 13:17:22,Only Up,9.8K
2023-06-30 13:17:22,Roblox,9K

2023-06-30 15:19:55,Mobile Legends: Bang Bang,106K
2023-06-30 15:19:55,PUBG Mobile,71K
2023-06-30 15:19:55,Street Fighter 6,64K
2023-06-30 15:19:55,Battlegrounds Mobile India,49K
2023-06-30 15:19:55,Minecraft,38K
2023-06-30 15:19:55,Apex Legends,26K
2023-06-30 15:19:55,Garena Free Fire,21K
2023-06-30 15:19:55,BeamNG.drive,18K
2023-06-30 15:19:55,Shadow Corridor,17K
2023-06-30 15:19:55,Fortnite,16K
2023-06-30 15:19:55,Persona 4 Golden,15K
2023-06-30 15:19:55,Valorant,15K
2023-06-30 15:19:55,HATSUNE MIKU: COLORFUL STAGE!,14K
2023-06-30 15:19:55,League of Legends,14K
2023-06-30 15:19:55,StarCraft: Remastered,12K
2023-06-30 15:19:55,Roblox,12K

2023-06-30 17:20:34,Battlegrounds Mobile India,121K
2023-06-30 17:20:34,Street Fighter 6,42K
2023-06-30 17:20:34,Mobile Legends: Bang Bang,39K
2023-06-30 17:20:34,League of Legends,25K
2023-06-30 17:20:34,Minecraft,23K
2023-06-30 17:20:34,Apex Legends,22K
2023-06-30 17:20:34,Valorant,20K
2023-06-30 17:20:34,Persona 4 Golden,18K
2023-06-30 17:20:34,PUBG Mobile,18K
2023-06-30 17:20:34,Higgs Domino Island,14K
2023-06-30 17:20:34,BeamNG.drive,14K
