Game,Average 7-Day Viewers,Hours Watched,Date
FIFA 23,21805,3652301,2023-08-07
Apex Legends,36450,6105417,2023-08-07
FIFA 23,21805,3652301,2023-08-07
Apex Legends,36450,6105417,2023-08-07
FIFA 23,21805,3652301,2023-08-07
Apex Legends,36450,6105417,2023-08-07
FIFA 23,21360,3581375,2023-08-09
Apex Legends,37530,6292448,2023-08-09
